店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
大型店,ケーズデンキ　水戸内原店,水戸市内原1-208,https://goo.gl/maps/ZpN6E7Nkz3gWeejT7,小売,家電製品
大型店,フードスクエア　カスミ　水戸西原店,水戸市西原1-14-58,https://goo.gl/maps/pPqoPy1kBhosGVty7,小売,食品・日用品　他
大型店,カスミ　フードスクエア　水戸見川店,水戸市見川2-3066-1,https://goo.gl/maps/cwdSpbwLTArVnnc38,小売,食料品
大型店,未来屋書店,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,書籍
大型店,NEW Raffine,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,サービス,ﾘﾗｸｾﾞｰｼｮﾝ・整体
大型店,美容室ｸﾁｭｰﾙ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,サービス,美容室
大型店,ﾛｰｽﾄﾋﾞｰﾌ星,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ﾃｷｻｽｷﾝｸﾞｽﾃｰｷ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,果汁工房果琳,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ﾃﾞｻﾞｰﾄ王国,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ﾐｽﾀｰﾄﾞｰﾅﾂ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ｹﾝﾀｯｷｰﾌﾗｲﾄﾞﾁｷﾝ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ﾌﾚｯｼｭﾈｽﾊﾞｰｶﾞｰ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ﾘﾝｶﾞｰﾊｯﾄ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,いなせ庵,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,ぶっかけうどん丸亀製麺,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,肉のﾔﾏｷ商店,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,博多ん丸,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,築地銀だこ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,フードコート
大型店,倉式珈琲店,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,飲食,カフェ
大型店,だがし夢や,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,駄菓子
大型店,ﾎﾟﾎﾟﾝﾃﾞｯﾀ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,ホビー
大型店,ﾊﾟﾝﾄﾞﾗﾊｳｽ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,手芸・クラフト
大型店,ﾊﾟｰﾂｸﾗﾌﾞ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,ビーズ・アクセサリー
大型店,HMV,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,ＣＤ・ＡＶ
大型店,7th CODE,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,楽器
大型店,ﾑﾗｻｷｽﾎﾟｰﾂ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,スポーツ・アウトドア
大型店,cassetto,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,スマートフォンアクセサリー
大型店,じぶんまくら,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,まくら・寝具
大型店,ﾀﾞｯﾄﾞｳｪｲ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,バラエティ雑貨
大型店,ﾁｬｲﾊﾈ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,バラエティ雑貨
大型店,さくらんぼ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,バラエティ雑貨
大型店,ｻﾝﾘｵｷﾞﾌﾄｹﾞｰﾄ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,バラエティ雑貨
大型店,ｳﾞｨﾚｯｼﾞ･ｳﾞｧﾝｶﾞｰﾄﾞ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,バラエティ雑貨
大型店,ﾀｵﾙ美術館,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,生活・インテリア雑貨
大型店,ｻﾞ･ﾀﾞｲｿｰ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,生活・インテリア雑貨
大型店,Zoff Marche,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,眼鏡
大型店,ｺﾝﾀｸﾄのｱｲｼﾃｨ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,コンタクト
大型店,Aigan,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,眼鏡
大型店,SAAD,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,アクセサリー
大型店,ｹﾞﾝｷｷｯｽﾞﾌﾟﾗｽ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,靴
大型店,ASBee,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,靴
大型店,きものやまと,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,呉服
大型店,靴下屋Life and Feel,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,靴下
大型店,ﾋﾟﾝｸﾗﾃ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,子供衣料
大型店,ｱﾌﾟﾚﾚｸｰﾙ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,子供衣料
大型店,ﾚﾋﾟﾋﾟｱﾙﾏﾘｵ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,子供衣料
大型店,ﾗﾌﾞﾄｷｼｯｸ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,子供衣料
大型店,ﾌﾞﾘｰｽﾞ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,子供衣料
大型店,ﾌﾞﾗﾝｼｪｽ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,子供衣料
大型店,ﾌﾟﾃｨﾏｲﾝ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,子供衣料
大型店,ﾗｲﾄｵﾝ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人・紳士・子供衣料
大型店,ｸﾞﾛｰﾊﾞﾙﾜｰｸ,水戸市内原2-1　イオンモール水戸内原, https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人・紳士・子供衣料
大型店,ｺﾞｰｽﾛｰｷｬﾗﾊﾞﾝ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人・紳士
大型店,ｽﾀｰﾍﾞｲｼｮﾝｽﾞ,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人・紳士・子供衣料
大型店,WEGO,水戸市内原2-1　イオンモール水戸内原,https://goo.gl/maps/5bWkPRdY94sm7K8m8,小売,婦人・紳士衣料
